first_name,surname,id_number,email_address,institution,department,checklist_rm1_week_1_progress_tracker_real,checklist_rm1_week_2_progress_tracker_real,checklist_rm1_week_3_progress_tracker_real,checklist_rm1_week_4_progress_tracker_real,checklist_rm1_week_5_progress_tracker_real,checklist_rm1_week_7_progress_tracker_real,checklist_rm1_week_8_progress_tracker_real,checklist_rm1_week_9_progress_tracker_real,checklist_rm1_week_10_progress_tracker_real,last_downloaded_from_this_course
Collin,Yaw,214488,214488@university.ac.uk,40000000,College of Social Sciences,88.89,100,100,NA,NA,NA,NA,71.43,NA,1682498158
Jordan,Viaan,211717,211717@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,55.56,NA,NA,NA,NA,NA,NA,NA,1682498158
Julien,Pavan,248285,248285@university.ac.uk,10000000,College of Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Ashleigh,Kaylani,233104,233104@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,NA,NA,NA,1682498158
Camilla,Shola,257422,257422@university.ac.uk,40000000,College of Social Sciences,100,44.44,66.67,NA,NA,NA,NA,NA,NA,1682498158
Jacqueline,Christos,271816,271816@university.ac.uk,20000000,College of Med Vet and Life Sciences,88.89,88.89,NA,NA,NA,NA,NA,NA,NA,1682498158
Allysa,Hanna,203628,203628@university.ac.uk,40000000,College of Social Sciences,100,44.44,NA,NA,NA,NA,NA,NA,NA,1682498158
Carron,Emilia-Mae,268810,268810@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,NA,NA,NA,1682498158
Jeanette,Sherwin,247011,247011@university.ac.uk,40000000,College of Social Sciences,100,NA,50,NA,NA,NA,NA,NA,NA,1682498158
Asher,Bilqees,253352,253352@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Sandra,Habibul,271195,271195@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,100,85.71,100,1682498158
Justin,Jackson,280341,280341@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,66.67,50,NA,NA,NA,1682498158
Matthias,Teddi,261261,261261@university.ac.uk,40000000,College of Social Sciences,77.78,0,NA,NA,NA,NA,NA,NA,NA,1682498158
Oluwadarasimi,Ilhan,237117,237117@university.ac.uk,40000000,College of Social Sciences,100,NA,66.67,NA,NA,NA,NA,NA,62.5,1682498158
Rayan,Freddie-Ray,214583,214583@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,55.56,NA,NA,NA,NA,NA,NA,NA,1682498158
Reese,Mia-Leigh,284236,284236@university.ac.uk,40000000,College of Social Sciences,100,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Adeem,Rihanna,297404,297404@university.ac.uk,40000000,College of Social Sciences,77.78,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Nawal,Uriel,226343,226343@university.ac.uk,40000000,College of Social Sciences,33.33,22.22,0,NA,NA,NA,NA,NA,NA,1682498158
Stuart,Nayeema,272890,272890@university.ac.uk,20000000,College of Med Vet and Life Sciences,77.78,88.89,83.33,0,NA,NA,NA,NA,NA,1682498158
Jackilene,Gaja,239477,239477@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Reyyan,Eliab,299302,299302@university.ac.uk,20000000,College of Med Vet and Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,1682498158
Donatello,Erin-Rose,200635,200635@university.ac.uk,40000000,College of Social Sciences,100,100,16.67,NA,NA,NA,NA,NA,NA,1682498158
Kate,Shahd,287574,287574@university.ac.uk,20000000,College of Med Vet and Life Sciences,100,NA,100,NA,NA,NA,NA,NA,NA,1682498158
Hali,Sunny,278359,278359@university.ac.uk,40000000,College of Social Sciences,44.44,33.33,16.67,NA,66.67,NA,NA,NA,NA,1682498158
Stephanie,Dorsa,236764,236764@university.ac.uk,40000000,College of Social Sciences,NA,100,100,100,100,100,100,NA,NA,1682498158
Muireann,Domas,215419,215419@university.ac.uk,40000000,College of Social Sciences,100,100,100,100,100,100,100,100,100,1682498158
Siddharth,Muzammil,279547,279547@university.ac.uk,40000000,College of Social Sciences,100,100,16.67,0,NA,NA,NA,NA,NA,1682498158
