first_name,surname,id_number,email_address,institution,department,quiz_mcq_summative_assessment_real,quiz_mcq_summative_assessment_perc,last_downloaded_from_this_course
Collin,Yaw,214488,214488@university.ac.uk,40000000,College of Social Sciences,17,77.27272727272727,1686928245
Jordan,Viaan,211717,211717@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Julien,Pavan,248285,248285@university.ac.uk,10000000,College of Arts,20,90.9090909090909,1686928245
Ashleigh,Kaylani,233104,233104@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Camilla,Shola,257422,257422@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Jacqueline,Christos,271816,271816@university.ac.uk,40000000,College of Social Sciences,22,100,1686928245
Allysa,Hanna,203628,203628@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Carron,Emilia-Mae,268810,268810@university.ac.uk,40000000,College of Social Sciences,18,81.81818181818183,1686928245
Jeanette,Sherwin,247011,247011@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Asher,Bilqees,253352,253352@university.ac.uk,40000000,College of Social Sciences,21,95.45454545454545,1686928245
Sandra,Habibul,271195,271195@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928244
Justin,Jackson,280341,280341@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Matthias,Teddi,261261,261261@university.ac.uk,20000000,College of Med Vet and Life Sciences,16,72.72727272727273,1686928245
Oluwadarasimi,Ilhan,237117,237117@university.ac.uk,40000000,College of Social Sciences,19,86.36363636363636,1686928245
Rayan,Freddie-Ray,214583,214583@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928245
Reese,Mia-Leigh,284236,284236@university.ac.uk,20000000,College of Med Vet and Life Sciences,19,86.36363636363636,1686928245
Adeem,Rihanna,297404,297404@university.ac.uk,20000000,College of Med Vet and Life Sciences,21,95.45454545454545,1686928245
Nawal,Uriel,226343,226343@university.ac.uk,40000000,College of Social Sciences,20,90.9090909090909,1686928244
Stuart,Nayeema,272890,272890@university.ac.uk,20000000,College of Med Vet and Life Sciences,22,100,1686928244
